Rank,Model,Accuracy,Server Latency/Sample (s),Wall Latency/Sample (s),Cost/Sample ($)
1,answer=Claude Opus 4.6 + critic=Claude Haiku 4.5,0.9884,16.15,2903.38,0.0310
2,answer=Claude Opus 4.6 + critic=Qwen3 Next 80B A3B,0.9882,14.30,2924.54,0.0288
3,answer=Claude Opus 4.6 + critic=Ministral 3 8B,0.9872,14.03,2997.51,0.0263
4,answer=Claude Opus 4.6 + critic=gpt-oss-20b,0.9828,16.50,2941.51,0.0296
5,answer=Claude Opus 4.6 + critic=gpt-oss-120b,0.9777,15.40,2894.61,0.0315
6,answer=Claude Opus 4.6 + critic=Qwen3 32B,0.9728,15.05,2919.00,0.0334
7,answer=Claude Opus 4.6 + critic=Claude Opus 4.6,0.9724,15.94,2908.92,0.0348
8,answer=Claude Opus 4.6 + critic=Kimi K2.5,0.9724,18.37,2910.33,0.0329
9,answer=Claude Opus 4.6 + critic=Claude 3 Haiku,0.9595,14.85,2890.80,0.0269
10,answer=gpt-oss-20b + critic=Claude Opus 4.6,0.9457,6.81,3012.44,0.0048
11,answer=gpt-oss-20b + critic=Kimi K2.5,0.9457,12.45,3025.69,0.0013
12,answer=gpt-oss-20b + critic=gpt-oss-20b,0.9454,4.04,2981.23,0.0004
13,answer=Claude Haiku 4.5 + critic=Qwen3 32B,0.9450,12.68,2991.40,0.0126
14,answer=gpt-oss-20b + critic=Claude Haiku 4.5,0.9405,6.19,3026.03,0.0018
15,answer=gpt-oss-20b + critic=gpt-oss-120b,0.9402,4.94,3015.43,0.0006
16,answer=gpt-oss-20b + critic=Qwen3 Next 80B A3B,0.9402,8.67,3026.91,0.0007
17,answer=Claude Haiku 4.5 + critic=Claude Haiku 4.5,0.9400,14.31,2977.38,0.0130
18,answer=gpt-oss-20b + critic=Ministral 3 8B,0.9399,8.27,2991.70,0.0005
19,answer=gpt-oss-120b + critic=Claude Opus 4.6,0.9381,9.10,3065.96,0.0063
